,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,60.538482427597046,27.732369728826658,0.6638538360595703,0.0418086800227451,0.001,3,100,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100}",-0.8372666232088317,-0.8902187431396568,-0.9433614095762298,-0.9445717539965874,-0.9044727239443742,-0.903978250773136,0.039595139872396864,64
1,358.9105005264282,167.35207911008098,3.1791983604431153,0.1631569020663644,0.001,3,700,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 700}",-0.7377865162930389,-0.7876187565192864,-0.8404871077591707,-0.844112977882452,-0.8062729631387339,-0.8032556643185362,0.03897518896223694,60
2,510.4281048774719,239.45533217391088,4.387917995452881,0.14810900570115437,0.001,3,1000,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 1000}",-0.7334504965968488,-0.7826097068717616,-0.8340224488735335,-0.8369292864749815,-0.8000075918564907,-0.7974039061347232,0.037996998476314395,58
3,607.0623598098755,286.2068335400913,5.312590217590332,0.31015833396215614,0.001,3,1200,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 1200}",-0.7312163435520185,-0.7802101032313473,-0.830615982497777,-0.8336618043299076,-0.7964281290986444,-0.7944264725419389,0.03755189498180937,55
4,57.392646646499635,27.645980407983227,0.9778412818908692,0.08324105223384433,0.001,5,100,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100}",-0.8361123493501074,-0.8890526677005549,-0.9402559284738858,-0.9421266993983278,-0.902026467699991,-0.9019148225245732,0.03894213249005485,63
5,379.8980718135834,183.30366794889062,5.500890731811523,0.7601921782382219,0.001,5,700,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 700}",-0.7357328651724261,-0.788590573876499,-0.8375930413257908,-0.8407307666744335,-0.8032876984375754,-0.8011869890973451,0.03830518497241151,59
6,535.7401908397675,255.88923813977925,7.796340990066528,0.27244480037321456,0.001,5,1000,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 1000}",-0.7300410427516927,-0.7819612180709838,-0.8272584148321707,-0.8322862507583388,-0.7960232376407834,-0.7935140328107939,0.03690678069653466,53
7,648.6725251197815,313.2817615615094,10.942346668243408,1.5336675355610374,0.001,5,1200,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 1200}",-0.7271202848912455,-0.7785586559060602,-0.8230976658275758,-0.8280370312609162,-0.7925327124499862,-0.7898692700671568,0.036423518056303866,51
8,64.66834917068482,30.523818456067513,1.470318603515625,0.06680534799434343,0.001,8,100,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 100}",-0.8336841285021621,-0.8843108787635492,-0.9363775811385225,-0.937926521968527,-0.8983759974627115,-0.8981350215670945,0.03844720920242159,62
9,428.4451086997986,202.51914645186528,13.505544185638428,1.2165953189136367,0.001,8,700,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 700}",-0.7312876580937939,-0.7823711472487317,-0.829168386314085,-0.8360583425661394,-0.7995195043997846,-0.7956810077245069,0.037656669032162166,56
10,610.5304455757141,289.7094152520178,21.08017029762268,1.5895838792100125,0.001,8,1000,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 1000}",-0.7234405925878137,-0.7743895909735898,-0.8159489836522011,-0.8263454615697526,-0.7912525696763593,-0.7862754396919434,0.03633287518951997,50
11,728.653519487381,342.3993741121961,27.03781042098999,2.73580121575945,0.001,8,1200,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 1200}",-0.719170936778932,-0.7698560811806809,-0.809821739342624,-0.8214457276661803,-0.7871214939613367,-0.7814831957859508,0.035916221483079935,48
12,71.10240573883057,33.13014417411667,2.0519217967987062,0.295605849845052,0.001,10,100,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 100}",-0.8323913465116616,-0.8827866516196973,-0.9347852684866521,-0.9368287446020068,-0.897887418406534,-0.8969358859253104,0.038447678076294026,61
13,467.3197640419006,210.0612257432813,22.929460859298707,2.853666405970132,0.001,10,700,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 700}",-0.726969310888994,-0.7767956009756496,-0.8231486100614712,-0.8317464104161559,-0.7961212991564326,-0.7909562462997407,0.037474565570471574,52
14,671.0640600204467,304.30004838023353,30.378282260894775,1.2634240502723881,0.001,10,1000,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 1000}",-0.7163855673984161,-0.7667082881113532,-0.8102506343413511,-0.8211500783119665,-0.7863190160504954,-0.7801627168427164,0.03707207316371521,47
15,796.7322927474976,356.27731437453997,36.96530909538269,4.646623990796761,0.001,10,1200,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 1200}",-0.7108150946059093,-0.7615481346098578,-0.8039559563625353,-0.8155675047269569,-0.7813622245740649,-0.7746497829758648,0.036945065308575276,44
16,53.43909840583801,25.642270495597785,0.6491510391235351,0.0441625217746266,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",-0.7327506943972503,-0.7824612174055761,-0.8327191096126735,-0.8361168063587824,-0.7993559202721672,-0.7966807496092899,0.03781631805785719,57
